"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Infinite Power Avengers Infinity War T Shirt
#NationalBeerDay /cRe1CchdbN",FALSE,0,NA,2018-05-17 03:05:54,FALSE,NA,"996949905968001024",NA,"<a href=""http://www.hotvero.com/"" rel=""nofollow"">Hotveroaklkll</a>","Hotvero_Urban",0,FALSE,FALSE,NA,NA
"@tos AVENGERS INFINITE WAR",FALSE,0,"TOS",2018-05-17 02:39:22,FALSE,NA,"996943226928971776","12371162","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ichiyo_kan",0,FALSE,FALSE,NA,NA
"INDIAN Politics as of today seems like The Infinite war... Its Avengers vs Thanos.",FALSE,0,NA,2018-05-17 01:58:02,FALSE,NA,"996932825759789056",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","kmeraj20",0,FALSE,FALSE,NA,NA
"@joss Did you watch Infinite War??? That's the TRUE Thor, not that weak and supporting character you've turned into /YT5CLB56ot",FALSE,0,"joss",2018-05-17 01:31:00,TRUE,NA,"996926021063577600","776198324747575297","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TilapiaItaliana",0,FALSE,FALSE,NA,NA
"@Marvel Did you watch Infinite War??? That's the TRUE Thor, not that weak and supporting character you've turned in /OfiwsY5aSL",FALSE,0,"Marvel",2018-05-17 01:30:29,TRUE,NA,"996925894081040384","15687962","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TilapiaItaliana",0,FALSE,FALSE,NA,NA
"Agregu un video a una lista de reproduccin de @YouTube /Fm6UJzQXZz Infinity War of Infinite Avengers",FALSE,0,NA,2018-05-17 00:53:13,FALSE,NA,"996916514560364544",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","denisdex10",0,FALSE,FALSE,NA,NA
"I liked a @YouTube video /b0ibEGpetO Infinity War of Infinite Avengers",FALSE,0,NA,2018-05-16 23:53:37,FALSE,NA,"996901515301355520",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","AldoVernal",0,FALSE,FALSE,NA,NA
"About to see the avengers infinite war of infinities finally pretty hyped",FALSE,3,NA,2018-05-16 19:39:34,FALSE,NA,"996837580267311104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","3Ls_0Ws",0,FALSE,FALSE,NA,NA
"RT @adalanews: Le film Avengers Infinite War ""adapt"" en srie anime par A-1 Pictures ! 

Joli dessin de @Bin1production ^^ /",FALSE,0,NA,2018-05-16 19:16:05,FALSE,NA,"996831670757191680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mononokhey",11,TRUE,FALSE,NA,NA
"RT @jammdung: Avengers Infinite War is one big STEUPSSS",FALSE,0,NA,2018-05-16 18:21:38,FALSE,NA,"996817969282994177",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","platinumasblack",1,TRUE,FALSE,NA,NA
"RT @adalanews: Le film Avengers Infinite War ""adapt"" en srie anime par A-1 Pictures ! 

Joli dessin de @Bin1production ^^ /",FALSE,0,NA,2018-05-16 16:06:06,FALSE,NA,"996783861836271616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","darkjijo003",11,TRUE,FALSE,NA,NA
"RT @adalanews: Le film Avengers Infinite War ""adapt"" en srie anime par A-1 Pictures ! 

Joli dessin de @Bin1production ^^ /",FALSE,0,NA,2018-05-16 14:54:52,FALSE,NA,"996765935280230401",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","susanoo15",11,TRUE,FALSE,NA,NA
"RT @adalanews: Le film Avengers Infinite War ""adapt"" en srie anime par A-1 Pictures ! 

Joli dessin de @Bin1production ^^ /",FALSE,0,NA,2018-05-16 14:36:32,FALSE,NA,"996761321512361986",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Armigraph",11,TRUE,FALSE,NA,NA
"RT @adalanews: Le film Avengers Infinite War ""adapt"" en srie anime par A-1 Pictures ! 

Joli dessin de @Bin1production ^^ /",FALSE,0,NA,2018-05-16 13:17:55,FALSE,NA,"996741537148129281",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yuujitsu",11,TRUE,FALSE,NA,NA
"RT @adalanews: Le film Avengers Infinite War ""adapt"" en srie anime par A-1 Pictures ! 

Joli dessin de @Bin1production ^^ /",FALSE,0,NA,2018-05-16 13:14:55,FALSE,NA,"996740783205179397",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MessieurDam",11,TRUE,FALSE,NA,NA
"RT @adalanews: Le film Avengers Infinite War ""adapt"" en srie anime par A-1 Pictures ! 

Joli dessin de @Bin1production ^^ /",FALSE,0,NA,2018-05-16 12:57:01,FALSE,NA,"996736274802278401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","guapninja",11,TRUE,FALSE,NA,NA
"J'aime une vido @YouTube: ""Pierres d'Infinit : Rponses  5 GRANDES questions sur Avengers Infinity War""  l'adresse",FALSE,0,NA,2018-05-16 12:43:29,FALSE,NA,"996732871229562882",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","darka_allea",0,FALSE,FALSE,NA,NA
"@joss Did you watch Infinite War??? That's the TRUE Thor, not that weak and supporting character you've turned into /KOH7gq1YTP",FALSE,0,"joss",2018-05-16 12:13:58,TRUE,NA,"996725442521518084","776198324747575297","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TilapiaItaliana",0,FALSE,FALSE,NA,NA
"RT @adalanews: Le film Avengers Infinite War ""adapt"" en srie anime par A-1 Pictures ! 

Joli dessin de @Bin1production ^^ /",FALSE,0,NA,2018-05-16 11:50:57,FALSE,NA,"996719649868873734",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ValouFTh",11,TRUE,FALSE,NA,NA
"RT @adalanews: Le film Avengers Infinite War ""adapt"" en srie anime par A-1 Pictures ! 

Joli dessin de @Bin1production ^^ /",FALSE,0,NA,2018-05-16 11:44:43,FALSE,NA,"996718079819374592",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Vince95414994",11,TRUE,FALSE,NA,NA
